,AAPL_Close,Interest_Rate
2010-02-01,6.9546427726745605,0.13
2010-03-01,7.463929176330566,0.16
2010-04-01,8.427499771118164,0.2
2010-06-01,9.315357208251953,0.18
2010-07-01,8.874285697937012,0.18
2010-09-01,8.940357208251953,0.19
2010-10-01,10.09000015258789,0.19
2010-11-01,10.863571166992188,0.19
2010-12-01,11.300000190734863,0.18
2011-02-01,12.322500228881836,0.16
2011-03-01,12.475357055664062,0.14
2011-04-01,12.305713653564453,0.1
2011-06-01,12.339642524719238,0.09
2011-07-01,12.259285926818848,0.07
2011-08-01,14.16964340209961,0.1
2011-09-01,13.608214378356934,0.08
2011-11-01,14.161070823669434,0.08
2011-12-01,13.854642868041992,0.07
2012-02-01,16.292499542236328,0.1
2012-03-01,19.445356369018555,0.13
2012-05-01,20.79035758972168,0.16
2012-06-01,20.035356521606445,0.16
2012-08-01,21.671785354614258,0.13
2012-10-01,23.54964256286621,0.16
2012-11-01,21.30500030517578,0.16
2013-02-01,16.200714111328125,0.15
2013-03-01,15.373929023742676,0.14
2013-04-01,15.318214416503906,0.15
2013-05-01,15.688928604125977,0.11
2013-07-01,14.614999771118164,0.09
2013-08-01,16.309999465942383,0.08
2013-10-01,17.427143096923828,0.09
2013-11-01,18.572500228881836,0.08
2014-04-01,19.344642639160156,0.09
2014-05-01,21.124286651611328,0.09
2014-07-01,23.3799991607666,0.09
2014-08-01,24.032499313354492,0.09
2014-10-01,24.795000076293945,0.09
2014-12-01,28.767499923706055,0.12
2015-04-01,31.0625,0.12
2015-05-01,32.23749923706055,0.12
2015-06-01,32.6349983215332,0.13
2015-07-01,31.649999618530273,0.13
2015-09-01,26.93000030517578,0.14
2015-10-01,27.395000457763672,0.12
2015-12-01,29.334999084472656,0.24
2016-02-01,24.107500076293945,0.38
2016-03-01,25.13249969482422,0.36
2016-04-01,27.497499465942383,0.37
2016-06-01,24.614999771118164,0.38
2016-07-01,23.97249984741211,0.39
2016-08-01,26.512500762939453,0.4
2016-09-01,26.6825008392334,0.4
2016-11-01,27.872499465942383,0.41
2016-12-01,27.372499465942383,0.54
2017-02-01,32.1875,0.66
2017-03-01,34.9474983215332,0.79
2017-05-01,36.64500045776367,0.91
2017-06-01,38.29499816894531,1.04
2017-08-01,37.51250076293945,1.16
2017-09-01,41.01250076293945,1.15
2017-11-01,41.72249984741211,1.16
2017-12-01,42.76250076293945,1.3
2018-02-01,41.94499969482422,1.42
2018-03-01,43.75,1.51
2018-05-01,42.275001525878906,1.7
2018-06-01,47.560001373291016,1.82
2018-08-01,50.375,1.91
2018-10-01,56.814998626708984,2.19
2018-11-01,55.55500030517578,2.2
2019-02-01,41.630001068115234,2.4
2019-03-01,43.74250030517578,2.41
2019-04-01,47.810001373291016,2.42
2019-05-01,52.630001068115234,2.39
2019-07-01,50.38750076293945,2.4
2019-08-01,52.10749816894531,2.13
2019-10-01,56.147499084472656,1.83
2019-11-01,63.95500183105469,1.55
2020-04-01,60.227500915527344,0.05
2020-05-01,72.26750183105469,0.05
2020-06-01,80.4625015258789,0.08
2020-07-01,91.02749633789062,0.09
2020-09-01,134.17999267578125,0.09
2020-10-01,116.79000091552734,0.09
2020-12-01,122.72000122070312,0.09
2021-02-01,134.13999938964844,0.08
2021-03-01,127.79000091552734,0.07
2021-04-01,123.0,0.07
2021-06-01,124.27999877929688,0.08
2021-07-01,137.27000427246094,0.1
2021-09-01,152.50999450683594,0.08
2021-10-01,142.64999389648438,0.08
2021-11-01,148.9600067138672,0.08
2021-12-01,164.77000427246094,0.08
2022-02-01,174.61000061035156,0.08
2022-03-01,163.1999969482422,0.2
2022-04-01,174.30999755859375,0.33
2022-06-01,148.7100067138672,1.21
2022-07-01,138.92999267578125,1.68
2022-08-01,161.50999450683594,2.33
2022-09-01,157.9600067138672,2.56
2022-11-01,150.64999389648438,3.78
2022-12-01,148.30999755859375,4.1
2023-02-01,145.42999267578125,4.57
2023-03-01,145.30999755859375,4.65
2023-05-01,169.58999633789062,5.06
2023-06-01,180.08999633789062,5.08
2023-08-01,195.61000061035156,5.33
2023-09-01,189.4600067138672,5.33
2023-11-01,173.97000122070312,5.33
2023-12-01,191.24000549316406,5.33
